DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
V1qr v1t+Z8y7v3yr+fr76,Pu5v6723u+Xvytr5B+T8vq2+Z2r5x277r,iYQO,.**#,Indexing Multiple Sets,"Christoph Kilger, Guido Moerkotte",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
f35rnq6urr76+v1+eQOZf+s25+bYNc,an7un1+S2yxr57B+Nouv1n9+T837nB+N1q5r0+jv7x206xvB+Yrv+fur1tB+fn1xn5+f8o5nzn1vn1B+f5vxn17u+Oryynzx21qnB+T5rt25!+Q25zn1B+g2ytn+O2?xn!n,fVTZbQ+P21sr5r1pr,",__;",Spreadsheets in RDBMS for OLAP,"Andrew Witkowski, Srikanth Bellamkonda, Tolga Bozkaya, Gregory Dorman, Nathan Folkert, Abhinav Gupta, Lei Shen, Sankar Subramanian",International Conference on Management of Data,2003
kfO+n6+n+Qrq8p7v9r+Qn7non6r,gr55n1pr+f0vs7B+X2167n17v126+SA+fnt21n6B+Qn9vq+fp277+jn55r1,fVTZbQ+P21sr5r1pr,.-**#,XSB as a deductive database,"Konstantinos Sagonas, Terrance Swift, David S. Warren",International Conference on Management of Data,1994
P2175n67+cy276+n1q+c-f3ur5r+g5rr6M+f3npr+96A+gvzr+v1+arn5r67+arvtuo285+frn5pur6,W21n7un1+T2yq67rv1B+entu8+enznx5v6u1n1,iYQO,",___",Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,"Jonathan Goldstein, Raghu Ramakrishnan",Very Large Data Bases,2000
Qn7n+jn5ru286v1t+n1q+O86v1r66+V17ryyvtr1pr+s25+R-P2zzr5pr+-+O22x+er9vr0,S5n1x+TA+T2r7uny6,fVTZbQ+P21sr5r1pr,",__,",Data warehousing and business intelligence for e-commerce: by Alan R. Simon & Steven L. Shaffer,Frank G. Goethals,ACM SIGMOD Record ,2002
cr5s25zn1pr+Zrn685rzr176+2s+P2z35r66rq+Ov7zn3+V1qvpr6,gur2q25r+W2u1621,iYQO,.***,Performance Measurements of Compressed Bitmap Indices,Theodore Johnson,Very Large Data Bases,1999
gur+Ntt5rtn7r+Qn7n+c52oyrzM+N+f!67rz+s25+7urv5+Qrsv1v7v21+n1q+Zn1ntrzr17,Yr21n5q2+gv1v1v1vB+N1721vn+Or?r1purxB+Zn85v?v2+ensn1ryyv,fVTZbQ+erp25q,.**%,The aggregate data problem: a system for their definition and management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record ,1996
er6rn5pu+Np7v9v7vr6+v1+Qn7non6r+Zn1ntrzr17+n1q+V1s25zn7v21+er75vr9ny+n7+7ur+h1v9r56v7!+2s+Vyyv12v6+n7+Puvpnt2,NA+c5n6nq+fv67ynB+V6nory+SA+P58?B+N6usn4+NA+Xu2xun5B+Pyrzr17+gA+l8B+Ov1t+Yv8B+b85v+j2ys621,fVTZbQ+erp25q,",__,",Research activities in database management and information retrieval at University of Illinois at Chicago,"Isabel Cruz, Ashfaq Khokhar, Bing Liu, Prasad Sistla, Ouri Wolfson, Clement Yu",ACM SIGMOD Record ,2002
Z2qryyv1t+7rz325ny+7urzn7vp+zn3+p217r176,Rynuru+c285noon6B+Nyor572+q'b12s5v2,fVTZbQ+erp25q,",__;",Modelling temporal thematic map contents,"Alberto d'Onofrio, Elaheh Pourabbas",ACM SIGMOD Record ,2003
fnz3yv1t-On6rq+R67vzn7v21+2s+7ur+a8zor5+2s+Qv67v1p7+iny8r6+2s+n1+N775vo87r,cr7r5+WA+Unn6B+Y!11r+f72xr6B+fA+fr6unq5vB+Wrss5r!+SA+an8tu721,iYQO,.-**$,Sampling-Based Estimation of the Number of Distinct Values of an Attribute,"Peter J. Haas, Jeffrey F. Naughton, S. Seshadri, Lynne Stokes",Very Large Data Bases,1995
Ov7-fyvprq+V1qr +N5v7uzr7vp,Ryv?nor7u+WA+b'arvyB+Qr1v6+ev1s5r7B+cn75vpx+RA+b'arvy,fVTZbQ+erp25q,",__.",Bit-sliced index arithmetic,"Denis Rinfret, Patrick O'Neil, Elizabeth O'Neil",International Conference on Management of Data,2001
N872zn7rq+er62y87v21+2s+frzn17vp+Ur7r52tr1rv7!+v1+Z8y7vqn7non6r6,NA+eA+U85621B+fvzv1+UA+cnx?nqB+ZA+jA+O5vtu7,NPZ+g5n16A+Qn7non6r+f!67A,.**#,Automated resolution of semantic heterogeneity in multidatabases,"M. W. Bright, A. R. Hurson, S. Pakzad",ACM Transactions on Database Systems (TODS) ,1994
N+j25xsy20-on6rq+Ryrp7521vp+Zn5xr73ynpr+21+7ur+jro,Vo5nuvz+Pv1tvyB+an?vsr+Qvzvyvyr5B+ar6vzr+gn7o8yB+Vyxr5+Q85862!B+N68zn1+Q2tnpB+cv1n5+X2x6nyB+fr1n+a85ny+N53v1n5,fVTZbQ+erp25q,.**&,A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record ,1998
NQRcgM+N1+Ntr17-On6rq+N3352npu+72+O86v1r66+c52pr66+Zn1ntrzr17,gvz27u!+WA+a25zn1B+avpu2yn6+eA+Wr11v1t6B+cr!zn1+Sn5n7v1,fVTZbQ+erp25q,.**&,ADEPT: an agent-based approach to business process management,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record ,1998
Tr1r5nyv6rq+Un6u+grnz6+s25+W2v1+n1q+T5283-o!,Q21nyq+X266zn11B+Nys216+Xrz3r5B+Pu5v67vn1+jvr61r5,iYQO,.***,Generalised Hash Teams for Join and Group-by,"Alfons Kemper, Donald Kossmann, Christian Wiesner",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
er6rn5pu+V668r6+v1+Srqr5n7rq+Qn7non6r+f!67rz6M+er3257+2s+RSQOf+'*^+j25x6u23,Sèyv +fny725B+Zn5x+e2n175rrB+Zn5x+jA+jA+ir5zrr5B+jvyuryz+Un66ryo5v1tB+Zn57v1+fpuö1u2ssB+Zn5x86+f75ä66yr5B+On55!+Rntyr6721rB+f7rsn1+P215nq,fVTZbQ+erp25q,.**^, ,"S. Conrad, B. Eaglestone, W. Hasselbring, M. Roantree, M. Sch&#246;hoff, M. Str&#228;ssler, M. Vermeer, F. Saltor",ACM SIGMOD Record ,1997
gur+f758p785rq+V1s25zn7v21+Zn1ntr5M+N+Qn7non6r+f!67rz+s25+fTZY+Q2p8zr176,e21+fnpx6-Qn9v6,iYQO,.**%,The Structured Information Manager: A Database System for SGML Documents,Ron Sacks-Davis,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
d8r5!+b37vzv?n7v21+n7+7ur+P526652nq6+(cn1ry),f85nwv7+Pun8qu85v,fVTZbQ+P21sr5r1pr,.**^,Query optimization at the crossroads,Surajit Chaudhuri,International Conference on Management of Data,1997
V1s25zn7v21+V17rt5n7v21M+gur+ZbZVf+c52wrp7+Qrz21675n7v21,Zvpuryr+Zrypuv25vB+fvy9n1n+Pn67n12B+TA+Zny9r??vB+Q2zr1vp2+Or1r9r17n12B+eA+T8vqr77vB+Nyor572+P251vB+f21vn+Or5tnzn6puvB+Zn85v?v2+iv1pv1v,iYQO,",___",Information Integration: The MOMIS Project Demonstration,"Domenico Beneventano, Sonia Bergamaschi, Silvana Castano, Alberto Corni, R. Guidetti, G. Malvezzi, Michele Melchiori, Maurizio Vincini",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
P217nv1zr17+W2v1+fv?r+R67vzn7v21M+Z2qry6+n1q+Zr7u2q6,Unvsr1t+Wvn1tB+U21tw81+Y8B+jrv+jn1tB+Wrss5r!+k8+l8,fVTZbQ+P21sr5r1pr,",-__;",Containment join size estimation: models and methods,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",International Conference on Management of Data,2003
d8r5!+b37vzv?n7v21+o!+c5rqvpn7r+Z29r-N5281q,V1qr53ny+fv1tu+Z8zvpxB+Ny21+lA+Yr9!B+lru26u8n+fntv9,iYQO,.**#,Query Optimization by Predicate Move-Around,"Alon Y. Levy, Inderpal Singh Mumick, Yehoshua Sagiv",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
Rssvpvr17+Zn1ntrzr17+2s+Z8y7v9r56v21+Q2p8zr176+o!+bowrp7+ersr5r1pv1t,in66vyv6+WA+g6275n6B+Pn5y2+mn1v2y2B+fu8-ln2+Puvr1,iYQO,",__.",Efficient Management of Multiversion Documents by Object Referencing,"Shu-Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo",Very Large Data Bases,2001
h1qr567n1qv1t+7ur+ty2ony+6rzn17vp6+2s+5rsr5r17vny+np7v216+86v1t+y2tvp+58yr6,j2ystn1t+Zn!B+Or575nz+Y8qä6pur5,NPZ+g5n16A+Qn7non6r+f!67A,",__,", ,"Wolfgang May, Bertram Lud&#228;scher",ACM Transactions on Database Systems (TODS) ,2002
N160r5v1t+P2z3yr +fdY+d8r5vr6+h6v1t+N872zn7vp+f8zzn5!+gnoyr6,e2or57n+P2pu5n1rB+Unzvq+cv5nur6uB+Z21vpn+h5n7nB+Zn5x26+mnun5v28qnxv6B+Tr25tr+Yn3v6,fVTZbQ+erp25q,",___",Answering complex SQL queries using automatic summary tables,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data,2000
fpvr17vsvp+Qn7non6r6+-+f7n7r+2s+7ur+N57+n1q+S8785r+Qv5rp7v216,ln11v6+RA+V2n11vqv6B+Zn5vn+mrzn1x29n,iYQO,.**#,Scientific Databases - State of the Art and Future Directions,"Maria Zemankova, Yannis E. Ioannidis",Very Large Data Bases,1994
gvzr-3n5nzr7r5v?rq+48r5vr6+v1+63n7v2-7rz325ny+qn7non6r6,Qvzv75v6+cn3nqvn6B+l8srv+gn2,fVTZbQ+erp25q,",__,",Time-parameterized queries in spatio-temporal databases,"Yufei Tao, Dimitris Papadias",International Conference on Management of Data,2002
cn1ryM+d8r5!v1t+ar7025xrq+Qn7non6r6,Qv9r6u+f5v9n67n9nB+avpx+X28qn6,fVTZbQ+P21sr5r1pr,",-__;",Panel: querying networked databases,"Nick Koudas, Divesh Srivastava",International Conference on Management of Data,2003
U2zr5M+n+Z2qry-On6rq+PNfR+g22y+s25+Qn7n-V17r16v9r+jro+fv7r6,cn2y2+N7?r1vB+cn2y2+Zr5vnyq2B+Zn5p2+crp2521rB+Zn5p2+Znt1n17rB+Tvn16ny9n725r+Zrppn,fVTZbQ+P21sr5r1pr,",___",HOMER: a model-based CASE tool for data-intensive Web sites,"Paolo Merialdo, Paolo Atzeni, Marco Magnante, Giansalvatore Mecca, Marco Pecorone",International Conference on Management of Data,2000
Tr1r5nyv?rq+frn5pu+g5rr6+s25+Qn7non6r+f!67rz6,Wrss5r!+SA+an8tu721B+N9v+csrssr5B+W26r3u+ZA+Uryyr567rv1,iYQO,.**$,Generalized Search Trees for Database Systems,"Joseph M. Hellerstein, Jeffrey F. Naughton, Avi Pfeffer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
P267+z2qry6+s25+29r5yn33v1t+n1q+z8y7v9r56v21+6758p785r6,l8srv+gn2B+W81+mun1tB+Qvzv75v6+cn3nqvn6,NPZ+g5n16A+Qn7non6r+f!67A,",__,",Cost models for overlapping and multiversion structures,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS) ,2002
Nppr66v1t+n+eryn7v21ny+Qn7non6r+7u528tu+n1+bowrp7-b5vr17rq+Qn7non6r+V17r5snpr,Wnpx+NA+b5r167rv1B+QA+aA+Xnzor5,iYQO,.**$,Accessing a Relational Database through an Object-Oriented Database Interface,"Jack A. Orenstein, D. N. Kamber",Very Large Data Bases,1995
N33yvpn7v216+2s+7ur+WNiN+c52t5nzzv1t+Yn1t8ntr+72+Qn7non6r+Zn1ntrzr17,iA+jvx725+Zn5rxB+O5nqyr!+SA+O85721,fVTZbQ+erp25q,.**&,Applications of JAVA programming language to database management,"Bradley F. Burton, Victor W. Marek",ACM SIGMOD Record ,1998
Zrqvpny+V1s25zn7v21+f!67rz6M+Pun5np7r5v?n7v21+n1q+Punyyr1tr6,Y!11+YA+cr7r5621B+W25tr+PA+TA+enzv5r?B+Y21+NA+fzv7u,fVTZbQ+P21sr5r1pr,.**#,Medical information systems: characterization and challenges,"Jorge C. G. Ramirez, Lon A. Smith, Lynn L. Peterson",ACM SIGMOD Record ,1994
Sn67+P2z387n7v21+2s+f3n56r+Qn7np8or6,Qv9r6u+f5v9n67n9nB+Xr11r7u+NA+e266,iYQO,.**^,Fast Computation of Sparse Datacubes,"Kenneth A. Ross, Divesh Srivastava",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
Zrqvn725+Yn1t8ntr6+-+n+c52326ny+s25+n+f7n1qn5q,cr7r5+O81rzn1B+Y28v4n+en6puvqB+Wrss5r!+QA+hyyzn1,fVTZbQ+P21sr5r1pr,.**^,"Mediator languages-a proposal for a standard: report of an I3/POB working group held at the University of Maryland, April 12 and 13, 1996","Peter Buneman, Louiqa Raschid, Jeffrey Ullman",ACM SIGMOD Record ,1997
P217nv1zr17+2s+P21w81p7v9r+d8r5vr6M+Or!21q+eryn7v216+n6+fr76,entu8+enznx5v6u1n1B+ln11v6+RA+V2n11vqv6,NPZ+g5n16A+Qn7non6r+f!67A,.**$,Containment of conjunctive queries: beyond relations as sets,"Yannis E. Ioannidis, Raghu Ramakrishnan",ACM Transactions on Database Systems (TODS) ,1995
Q!1nzvp+V7rz6r7+P2817v1t+n1q+Vz3yvpn7v21+e8yr6+s25+Zn5xr7+On6xr7+Qn7n,funy2z+g685B+enwrr9+Z270n1vB+fr5tr!+O5v1B+Wrss5r!+QA+hyyzn1,fVTZbQ+P21sr5r1pr,.**^,Dynamic itemset counting and implication rules for market basket data,"Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",International Conference on Management of Data,1997
TUbfgM+Sv1r+T5n18yn5v7!+O8ssr5v1t+2s+V1qr r6,Pur1t+Uvn1+T2uB+Xvn1-Yrr+gn1B+Or1t+Puv1+b2vB+QA+fvz,iYQO,.***,GHOST: Fine Granularity Buffering of Indexes,"Cheng Hian Goh, Beng Chin Ooi, D. Sim, Kian-Lee Tan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
R 75np7v1t+f758p785rq+Qn7n+s52z+jro+cntr6,N59v1q+N5n68B+Urp725+Tn5pvn-Z2yv1n,fVTZbQ+erp25q,",__;",Extracting structured data from Web pages,"Arvind Arasu, Hector Garcia-Molina, Stanford University",International Conference on Management of Data,2003
T8r67+rqv725vny,Znyp2yz+cA+N7xv1621,iYQO+WA,",___",Guest editorial,Malcolm P. Atkinson,Very Large Data Bases,2000
Q!1nzvp+Zrz25!+Nqw867zr17+s25+R 7r51ny+Zr5tr6257,jrv!r+mun1tB+cr5-Åxr+Yn5621,iYQO,.**^,Dynamic Memory Adjustment for External Mergesort,"Weiye Zhang, Per-&#197;ke Larson",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1997
Rssvpvr17+r9ny8n7v21+2s+48r5vr6+v1+n+zrqvn725+s25+jrof285pr6,g2ytn+h5un1B+Yn85n+O5vtu7B+iynqvzv5+mnq252?u1!B+Zn5vn-R67ur5+ivqnyB+Y28v4n+en6puvq,fVTZbQ+P21sr5r1pr,",__,",Efficient evaluation of queries in a mediator for WebSources,"Vladimir Zadorozhny, Louiqa Raschid, Maria Esther Vidal, Tolga Urhan, Laura Bright",International Conference on Management of Data,2002
ir56v216+n1q+j25x63npr6+v1+Zvp5262s7+er326v725!,fun1xn5+cnyB+gu2zn6+Or5t675nr66r5B+cuvyv3+NA+Or5167rv1B+Qn9vq+fu877,fVTZbQ+P21sr5r1pr,.***,Versions and workspaces in Microsoft repository,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,1999
N+S5nzr025x+s25+R 35r66v1t+n1q+P2zov1v1t+c5rsr5r1pr6,Rq0n5q+YA+jvzzr56B+enxr6u+Nt5n0ny,fVTZbQ+P21sr5r1pr,",-___",A framework for expressing and combining preferences,"Rakesh Agrawal, Edward L. Wimmers",International Conference on Management of Data,2000
R1un1prq+No675np7+Qn7n+g!3r6+v1+bowrp7-eryn7v21ny+Qn7non6r6,c5n9rr1+fr6unq5v,iYQO+WA,.**&,Enhanced abstract data types in object-relational databases,Praveen Seshadri,Very Large Data Bases,1998
ivr0+Znv17r1n1pr+v1+n+jn5ru286v1t+R19v521zr17,Wr11vsr5+jvq2zB+Urp725+Tn5pvn-Z2yv1nB+l8r+mu8trB+W2npuvz+Unzzr5,fVTZbQ+P21sr5r1pr,.**$,View maintenance in a warehousing environment,"Yue Zhuge, H&#233;ctor Garc&#237;a-Molina, Joachim Hammer, Jennifer Widom",International Conference on Management of Data,1995
P21p855r1p!+v1+7ur+Qn7n+jn5ru286r,evpun5q+gn!y25,iYQO,",___",Concurrency in the Data Warehouse,Richard Taylor,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2000
P2nyr6pv1t+v1+grz325ny+Qn7non6r6,Zvpunry+QA+f22B+evpun5q+gA+f12qt5n66B+Zvpunry+UA+Oöuyr1,iYQO,.**%,Coalescing in Temporal Databases,"Michael H. B&#246;hlen, Richard Thomas Snodgrass, Michael D. Soo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
b87yvr5+Qr7rp7v21+s25+Uvtu+Qvzr16v21ny+Qn7n,Pun58+PA+Nttn50nyB+cuvyv3+fA+l8,fVTZbQ+erp25q,",-__.",Outlier detection for high dimensional data,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2001
gur+kcf+N3352npu+72+Y2nqv1t+n1q+h1y2nqv1t+gr5no!7r+Qn7non6r6,fn1xr7+N7ny,iYQO,.**%,The XPS Approach to Loading and Unloading Terabyte Databases,Sanket Atal,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
N+gur25!+2s+erq2+erp29r5!,Zn5x+eA+g877yrB+Qn9vq+OA+Y2zr7,fVTZbQ+P21sr5r1pr,",__;",A theory of redo recovery,"David Lomet, Mark Tuttle",International Conference on Management of Data,2003
"b-bB+jun7'6+Un33r1v1t+72+QO,:",evpun5q+f0ntr5zn1B+ary621+Zr1q21çn+Zn7726B+Zvpunry+WA+Pn5r!B+f5v1v9n6n+an5n!n1n1B+Or11r7+in1prB+Q28t+Q22yrB+fr5tr+evryn8B+Q21nyq+QA+Punzor5yv1,fVTZbQ+erp25q,.***,"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,1999
b1yv1r+Q!1nzvp+er25qr5v1t+s25+V17r5np7v9r+Qn7n+c52pr66v1t,Oun6xn5n1+enzn1B+W26r3u+ZA+Uryyr567rv1B+ivwn!6un1xn5+enzn1,iYQO,.***,Online Dynamic Reordering for Interactive Data Processing,"Vijayshankar Raman, Bhaskaran Raman, Joseph M. Hellerstein",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
N+f859r!+n1q+P5v7v48r+2s+Nq9n1prq+g5n16np7v21+Z2qry6,PA+Z2un1,fVTZbQ+P21sr5r1pr,.**#,A survey and critique of advanced transaction models,C. Mohan,International Conference on Management of Data,1994
Q!1nzvp+fr59vpr+Zn7puznxv1t+Nz21t+Ntr176+v1+b3r1+V1s25zn7v21+R19v521zr176,Zn77uvn6+Xy86puB+Xn7vn+cA+f!pn5nB+fr7u+jvq2ssB+Wvn1t82+Y8,fVTZbQ+erp25q,.-***,Dynamic service matchmaking among agents in open information environments,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record ,1999
"N+gfdY,+g8725vny",Wnzr6+Pyvss25qB+enzr?+Ryzn65vB+Zvpunry+QA+f22B+j2ystn1t+Xäsr5B+avpx+Xyv1rB+N5vr+frtr9B+f85!n1n5n!n1n+ZA+f5v3nqnB+Snov2+T5n1qvB+W2u1+SA+e2qqvpxB+evpun5q+gA+f12qt5n66B+Pu5v67vn1+fA+Wr16r1B+avx26+NA+Y25r17?26B+Vy622+Nu1B+Tnq+N5vn9B+Q21+fA+On725!B+gA+lA+Pyvss+Yr81tB+P857v6+RA+Q!5r621B+X5v6u1n+TA+X8yxn51v,fVTZbQ+erp25q,.**#,A TSQL2 tutorial,"Richard Thomas Snodgrass, Ilsoo Ahn, Gad Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
g2+gnoyr+25+a27+72+gnoyrM+n+U!3r57no8yn5+N160r5,Tv86r33r+fn178ppvB+Yn85n+gn5n17v12,fVTZbQ+P21sr5r1pr,.**%,To table or not to table: a hypertabular answer,"Giuseppe Santucci, Laura Tarantino",ACM SIGMOD Record ,1996
Ov7zn3+V1qr +Qr6vt1+n1q+R9ny8n7v21,ln11v6+RA+V2n11vqv6B+Purr+l21t+Pun1,fVTZbQ+erp25q,.**&,Bitmap index design and evaluation,"Chee-Yong Chan, Yannis E. Ioannidis",International Conference on Management of Data,1998
gur+arrq+s25+Qv675vo87rq+N6!1pu521286+g5n16np7v216,Y!zn1+Q2B+c5nou8+enzB+cnzryn+Q5r0,fVTZbQ+P21sr5r1pr,.***,The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,1999
R67vzn7v1t+cntr+Sr7pur6+s25+V1qr +fpn16+0v7u+Sv1v7r+Yeh+O8ssr56,XA+Or51un5q+fpuvrsr5B+N581+aA+f0nzv,iYQO+WA,.**$,Estimating page fetches for index scans with finite LRU buffers,"Arun Swami, K. Bernhard Schiefer",Very Large Data Bases,1995
d8r5!+b37vzv?n7v21+s25+kZY,Wn621+ZpU8tuB+Wr11vsr5+jvq2z,iYQO,.***,Query Optimization for XML,"Jason McHugh, Jennifer Widom",Very Large Data Bases,1999
g5n16np7v21ny+V1s25zn7v21+f!67rz6+-+O22x+er9vr0,Zn5p+UA+fpu2yy,fVTZbQ+P21sr5r1pr,",__.","Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery",Marc H. Scholl,ACM SIGMOD Record ,2001
fUbeRM+P2zov1v1t+7ur+Or67+Srn785r6+2s+bbQOZf+n1q+Svyr+f!67rz6,fu25r+grnz,fVTZbQ+P21sr5r1pr,.-**$,Shore: combining the best features of OODBMS and file systems,CORPORATE The SHORE Team,International Conference on Management of Data,1995
P2z3n5v1t+Uvr5n5puvpny+Qn7n+v1+R 7r51ny+Zrz25!,f8qn56un1+fA+Pun0n7ur,iYQO,.***,Comparing Hierarchical Data in External Memory,Sudarshan S. Chawathe,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
b1+P2z387v1t+P255ryn7rq+Ntt5rtn7r6+b9r5+P217v18ny+Qn7n+f75rnz6,Qv9r6u+f5v9n67n9nB+Syv3+X251B+W2un11r6+Tru5xr,fVTZbQ+P21sr5r1pr,",__.",On computing correlated aggregates over continual data streams,"Johannes Gehrke, Flip Korn, Divesh Srivastava",International Conference on Management of Data,2001
gur+ar7025x+v6+7ur+Qn7non6rM+Qn7n+Zn1ntrzr17+s25+Uvtuy!+Qv675vo87rq+f!67rz6,Zvpunry+WA+j!1oyn77B+W8yv2+PA+an9n6,fVTZbQ+erp25q,",__.", ,"Julio C. Navas, Michael Wynblatt",International Conference on Management of Data,2001
Qn7n+Zn1ntrzr17M+Yn67v1t+Vz3np7+2s+7ur+jvyq+jvyqB+jvyqB+jro,errq+ZA+Zr6rpx,fVTZbQ+erp25q,",__.", ,Reed M. Meseck,International Conference on Management of Data,2001
W2v1+Nyt25v7uz+P2676+er9v6v7rq,X27ntv5v+enznz2un1n5n2B+R9n1+cA+Un55v6,iYQO+WA,.**%,Join algorithm costs revisited,"Evan P. Harris, Kotagiri Ramamohanarao",Very Large Data Bases,1996
fvzvyn5v7!-On6rq+d8r5vr6+s25+gvzr+fr5vr6+Qn7n,Nyor572+bA+Zr1qry?21B+Qn922q+ensvrv,fVTZbQ+erp25q,.**^,Similarity-based queries for time series data,"Davood Rafiei, Alberto Mendelzon",International Conference on Management of Data,1997
d8r5!+Qrp2z326v7v21+n1q+ivr0+Znv17r1n1pr+s25+d8r5!+Yn1t8ntr6+s25+h16758p785rq+Qn7n,Qn1+f8pv8,iYQO,.**%,Query Decomposition and View Maintenance for Query Languages for Unstructured Data,Dan Suciu,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996
gur+VQRN+jro+Yno,cvr52+S5n7r51nyvB+f7rsn12+cn5no26puvB+f7rsn12+Pr5v,fVTZbQ+P21sr5r1pr,.**&,The IDEA Web lab,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",International Conference on Management of Data,1998
b1+7ur+p2z387n7v21+2s+5ryn7v21ny+9vr0+p2z3yrzr176,T277s5vrq+i266r1B+Wr16+Yrpu7r1oö5tr5,NPZ+g5n16A+Qn7non6r+f!67A,",__;",On the computation of relational view complements,"Jens Lechtenb&#246;rger, Gottfried Vossen",ACM Transactions on Database Systems (TODS) ,2003
Or67-rss257+pnpur+6!1pu521v?n7v21+0v7u+6285pr+p223r5n7v21,Pu5v6+by6721B+Wr11vsr5+jvq2z,fVTZbQ+P21sr5r1pr,",__,",Best-effort cache synchronization with source cooperation,"Chris Olston, Jennifer Widom",International Conference on Management of Data,2002
Qn7n+V17rt5n7v21+n1q+jn5ru286v1t+v1+gryrp2z+V7nyvn,Qn1vryr+an5qvB+Zn85v?v2+Yr1?r5v1vB+f7rsn12+g5v62yv1v,fVTZbQ+P21sr5r1pr,.-***,Data integration and warehousing in Telecom Italia,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,1999
W2851ny+5ryr9n1pr,evpun5q+gA+f12qt5n66,fVTZbQ+P21sr5r1pr,",__;",Journal relevance,Richard Snodgrass,ACM SIGMOD Record ,2003
b1yv1r+fpnyv1t+v1+n+Uvtuy!+N9nvynoyr+Qn7non6r,f9rv1+R5vx+O5n76or5tB+e81r+U8zo2567nq,iYQO,",__.", ,"Svein Erik Bratsberg, Rune Humborstad",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
Vz3529v1t+gvzryv1r66+v1+erny-gvzr+frp85r+Qn7non6r+f!67rz6,fn1t+U!8x+f21B+en6vxn1+Qn9vqB+Oun9n1v+ZA+gu85nv6v1tunz,fVTZbQ+P21sr5r1pr,.**%,Improving timeliness in real-time secure database systems,"Sang H. Son, Rasikan David, Bhavani Thuraisingham",ACM SIGMOD Record ,1996
f725ntr+n1q+d8r5!v1t+2s+R-P2zzr5pr+Qn7n,lv521t+k8B+enxr6u+Nt5n0nyB+Nzv7+f2zn1v,iYQO,",__.", ,"Rakesh Agrawal, Amit Somani, Yirong Xu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
gur+ZRQhfN+c52wrp7M+N87212z286+Qn7n+Zn1ntrzr17+v1+n+fun5rq-a27uv1t+cn5nyyry+Qn7non6r+Znpuv1r,Tr25tr+ZA+O5!n1B+WA+Tr!r5B+jn!1r+RA+Z225rB+OA+WA+P855!B+XA+jA+Y2qtr,fVTZbQ+P21sr5r1pr,.**#,The MEDUSA project: autonomous data management in a shared-nothing parallel database machine,"G. M. Bryan, W. E. Moore, B. J. Curry, K. W. Lodge, J. Geyer",International Conference on Management of Data,1994
