DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Managing Video Data in a Mobile Environment,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",SIGMOD Record,1995,Managing video data in a mobile environment,"Rafael Alonso, Yuh-Lin Chang, Liviu Iftode, V. S. Mani",ACM SIGMOD Record ,1995
Report on The 1995 International Workshop on Temporal Databases,"Arie Segev, Richard T. Snodgrass, Christian S. Jensen",SIGMOD Record,1995,Report on the 1995 international workshop on temporal databases,"Arie Segev, Christian S. Jensen, Richard Thomas Snodgrass",ACM SIGMOD Record ,1995
Temporal Database System Implementations,Michael H. Böhlen,SIGMOD Record,1995,Temporal database system implementations,Michael H. B&#246;hlen,ACM SIGMOD Record ,1995
Parallelism and its Price: A Case Study of NonStop SQL/MP,"Susanne Englert, Ray Glasstone, Waqar Hasan",SIGMOD Record,1995,Parallelism and its price: a case study of nonstop SQL/MP,"Susanne Englert, Ray Glasstone, Waqar Hasan",ACM SIGMOD Record ,1995
SQL/CLI - A New Binding Style for SQL,"Murali Venkatrao, Michael Pizzo",SIGMOD Record,1995,SQL/CLI-a new binding style for SQL,"Murali Venkatrao, Michael Pizzo",ACM SIGMOD Record ,1995
The Database Group at National Technical University of Athens (NTUA),"Timos K. Sellis, Yannis Vassiliou",SIGMOD Record,1995,The database group at National Technical University of Athens (NTUA),CORPORATE National Technical Univ. of Athens,ACM SIGMOD Record ,1995
"Opportunities at ARPA, NSF, and Elsewhere",Xiaolei Qian,SIGMOD Record,1995,"Opportunities at ARPA, NSF, and elsewhere",Xiaolei Qian,ACM SIGMOD Record ,1995
"Replication: DB2, Oracle, or Sybase?",Doug Stacey,SIGMOD Record,1995,"Replication: DB2, Oracle, or Sybase?",Doug Stacey,ACM SIGMOD Record ,1995
The New Middleware,Rich Finkelstein,SIGMOD Record,1995,The new middleware,Rich Finkelstein,ACM SIGMOD Record ,1995
Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,"Dac Khoa Doan, Alistair C. Kilgour, Norman W. Paton",SIGMOD Record,1995,Design and user testing of a multi-paradigm query interface to an object-oriented database,"Dac Khoa Doan, Norman W. Paton, Alistair Kilgour",ACM SIGMOD Record ,1995
An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),"Chiang Lee, Hongjun Lu, Chia-Jung Chen",SIGMOD Record,1995,An aspect of query optimization in multidatabase systems,"Chiang Lee, Chia-Jung Chen, Hongjun Lu",ACM SIGMOD Record ,1995
An Introduction to Remy's Fast Polymorphic Record Projection,Limsoon Wong,SIGMOD Record,1995,An introduction to Remy's fast polymorphic record projection,Limsoon Wong,ACM SIGMOD Record ,1995
A Framework for Providing Consistent and Recoverable Agent-Based Access to Heterogeneous in Mobile Databases,"Bharat K. Bhargava, Evaggelia Pitoura",SIGMOD Record,1995,A framework for providing consistent and recoverable agent-based access to heterogeneous mobile databases,"Evaggelia Pitoura, Bharat Bhargava",ACM SIGMOD Record ,1995
Florida International University High Performance Database Research Center,"Leonard Loureiro, Yi Deng, Carlos Ordonez 0002, Mario Sanchez, Cyril U. Orji, Wei Sun, Artyom Shaposhnikov, Naphtali Rishe, Michael Alexopoulos, David Barton",SIGMOD Record,1995,Florida International University High Performance Database Research Center,"Naphtali Rishe, Wei Sun, David Barton, Yi Deng, Cyril Orji, Michael Alexopoulos, Leonardo Loureiro, Carlos Ordonez, Mario Sanchez, Artyom Shaposhnikov",ACM SIGMOD Record ,1995
Data Management Research at The MITRE Corporation,"Arnon Rosenthal, Edward Lafferty, Leonard J. Seligman, Catherine D. McCollum, Bhavani M. Thuraisingham, Barbara T. Blaustein",SIGMOD Record,1995,Data management research at the MITRE Corporation,"Arnon Rosenthal, Len Seligman, Catherine McCollum, Barbara Blaustein, Bhavani Thuraisingham, Edward Lafferty",ACM SIGMOD Record ,1995
Condition Handling in SQL Persistent Stored Modules,Jeff Richey,SIGMOD Record,1995,Condition handling in SQL persistent stored modules,Jeff Richey,ACM SIGMOD Record ,1995
Response to A Close Look at the IFO Data Model,"Serge Abiteboul, Richard Hull",SIGMOD Record,1995,Response to A close look at the IFO data model,"Serge Abiteboul, Richard Hull",ACM SIGMOD Record ,1995
Optimizing Jan Jannink's Implementation of B+-tree Deletion,"H. Olivie, R. Maelbrancke",SIGMOD Record,1995,Optimizing Jan Jannink's Implementation of B+-tree deletion,"R. Maelbrancke, H. Olivi&#233;",ACM SIGMOD Record ,1995
Multi-Table Joins Through Bitmapped Join Indices,"Goetz Graefe, Patrick E. O'Neil",SIGMOD Record,1995,Multi-table joins through bitmapped join indices,"Patrick O'Neil, Goetz Graefe",ACM SIGMOD Record ,1995
Mapping Extended Entity Relationship Model to Object Modeling Technique,Joseph Fong,SIGMOD Record,1995,Mapping extended entity relationship model to object modeling technique,Joseph Fong,ACM SIGMOD Record ,1995
Normalization in OODB Design,Byung Suk Lee,SIGMOD Record,1995,Normalization in OODB design,Byung S. Lee,ACM SIGMOD Record ,1995
On the Issue of Valid Time(s) in Temporal Databases,"Themis Panayiotopoulos, Efstathios V. Ioannidis, Constantine D. Spyropoulos, Stavros Kokkotos",SIGMOD Record,1995,On the issue of valid time(s) in temporal databases,"Stavros Kokkotos, Efstathios V. Ioannidis, Themis Panayiotopoulos, Constantine D. Spyropoulos",ACM SIGMOD Record ,1995
Addressing Techniques Used in Database Object Managers O2 and Orion,"Nadjiba Sahraoui, André Gamache",SIGMOD Record,1995,Addressing techniques used in database object managers O2 and ORION,"Andr&#233; Gamache, Nadjiba Sahraoui",ACM SIGMOD Record ,1995
METU Interoperable Database System,"Ebru Kilic, Pinar Koksal, Cem Evrendilek, Ugur Halici, Sema Mancuhan, N. Kesim, Asuman Dogac, Cevdet Dengi, Sena Nural, Gökhan Özhan, Fatma Ozcan, Ismailcem Budak Arpinar",SIGMOD Record,1995,METU interoperable database system,"A. Dogac, C. Dengi, E. Kilic, G. Ozhan, F. Ozcan, S. Nural, C. Evrendilek, U. Halici, B. Arpinar, P. Koksal, N. Kesim, S. Mancuhan",ACM SIGMOD Record ,1995
Information Finding in a Digital Library: The Stanford Perspective,"Tak W. Yan, Hector Garcia-Molina",SIGMOD Record,1995,Information finding in a digital library: the Stanford perspective,"Tak W. Yan, H&#233;ctor Garc&#237;a-Molina",ACM SIGMOD Record ,1995
"Turmoil at NASA, and Numerous Funding Announcements",Xiaolei Qian,SIGMOD Record,1995,"Turmoil at NASA, and numerous funding announcements",Xiaolei Qian,ACM SIGMOD Record ,1995
Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball",SIGMOD Record,1995,Why decision support fails and how to fix it,"Ralph Kimball, Kevin Strehlo",ACM SIGMOD Record ,1995
Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,Jian Zhang,SIGMOD Record,1995,Application of OODB and SGML techniques in text database: an electronic dictionary system,Jian Zhang,ACM SIGMOD Record ,1995
A Close Look at the IFO Data Model,Magdy S. Hanna,SIGMOD Record,1995,A close look at the IFO data model,Magdy S. Hanna,ACM SIGMOD Record ,1995
An Annotated Bibliography of Benchmarks for Object Databases,Akmal B. Chaudhri,SIGMOD Record,1995,An annotated bibliography of benchmarks for object databases,Akmal B. Chaudhri,ACM SIGMOD Record ,1995
An Annotated Bibliography on Active Databases,"Johann Christoph Freytag, Ulrike Jaeger",SIGMOD Record,1995,An annotated bibliography on active databases (short version),"Ulrike Jaeger, Johann Christoph Freytag",ACM SIGMOD Record ,1995
ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,"P. Bruce Berra, Bhavani M. Thuraisingham, Kingsley C. Nwosu",SIGMOD Record,1995,ACM Multimedia '94 conference workshop on multimedia database management systems,"Bruce Berra, Kingsley Nwosu, Bhavani Thuraisingham",ACM SIGMOD Record ,1995
A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,"Carl Medsker, Margaret Christensen, Il-Yeol Song",SIGMOD Record,1995,A comparison of three user interfaces to relational microcomputer data bases,"Carl Medsker, Margaret Christensen, Il-Yeol Song",ACM SIGMOD Record ,1995
Implementation Aspects of an Object-Oriented DBMS,"Ilker Durusoy, Cetin Ozkan, Mehmet Altinel, Asuman Dogac",SIGMOD Record,1995,Implementation aspects of an object-oriented DBMS,"Asuman Dogac, Mehmet Altinel, Cetin Ozkan, Ilker Durusoy",ACM SIGMOD Record ,1995
HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",SIGMOD Record,1995,HODFA: an architectural framework for homogenizing heterogeneous legacy databases,"Kamalakar Karlapalem, Qing Li, Chung-Dak Shum",ACM SIGMOD Record ,1995
Multigranularity Locking in Multiple Job Classes Transaction Processing System,"Sheung-lun Hung, Shan-hoi Ng",SIGMOD Record,1995,Multigranularity locking in multiple job classes transaction processing system,"Shan-hoi Ng, Sheung-lun Hung",ACM SIGMOD Record ,1995
Implementing Deletion in B+-Trees,Jan Jannink,SIGMOD Record,1995,Implementing deletion in B+-trees,Jan Jannink,ACM SIGMOD Record ,1995
The Third Manifesto,"C. J. Date, Hugh Darwen",SIGMOD Record,1995,The third manifesto,"Hugh Darwen, C. J. Date",ACM SIGMOD Record ,1995
Information Systems Research at RWTH Aachen,Matthias Jarke,SIGMOD Record,1995,Information systems research at RWTH Aachen,Matthias Jarke,ACM SIGMOD Record ,1995
The Database Group at University of Hagen (FernUniversitaet),"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",SIGMOD Record,1995,The database group at University of Hagen,"Gunter Schlageter, Thomas Berkel, Eberhard Heuel, Silke Mittrach, Andreas Scherer, Wolfgang Wilkes",ACM SIGMOD Record ,1995
Data Modelling in the Large,Martin Bertram,SIGMOD Record,1994,Data modelling in the large,Martin Bertram,ACM SIGMOD Record ,1994
A New Join Algorithm,"Arnold Charles Meltzer, Dong Keun Shin",SIGMOD Record,1994,A new join algorithm,"Dong Keun Shin, Arnold Charles Meltzer",ACM SIGMOD Record ,1994
A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",SIGMOD Record,1994,A metadatabase system for semantic image search by a mathematical model of meaning,"Yasushi Kiyoki, Takashi Kitagawa, Takanari Hayama",ACM SIGMOD Record ,1994
Metadata for Multimedia Documents,"Thomas C. Rakow, Klemens Böhm",SIGMOD Record,1994,Metadata for multimedia documents,"Klemens B&#246;hm, Thomas C. Rakow",ACM SIGMOD Record ,1994
Metadata in Video Databases,"Ramesh Jain, Arun Hampapur",SIGMOD Record,1994,Metadata in video databases,"Ramesh Jain, Arun Hampapur",ACM SIGMOD Record ,1994
SEQUOIA 2000 Metadata Schema for Satellite Images,"Michael Stonebraker, Jean T. Anderson",SIGMOD Record,1994,Sequoia 2000 metadata schema for satellite images,"Jean T. Anderson, Michael Stonebraker",ACM SIGMOD Record ,1994
Using Metadata for the Intelligent Browsing of Structured Media Objects,"William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi",SIGMOD Record,1994,Using metadata for the intelligent browsing of structured media objects,"William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi, Bogdan Capatina",ACM SIGMOD Record ,1994
Metadata for Integrating Speech Documents in a Text Retrieval System,"Martin Wechsler, Ulrike Glavitsch, Peter Schäuble",SIGMOD Record,1994,Metadata for integrating speech documents in a text retrieval system,"Ulrike Glavitsch, Peter Sch&#228;uble, Martin Wechsler",ACM SIGMOD Record ,1994
Metadata for Mixed-Media Access,"Julian Kupiec, Jan O. Pedersen, Lynn Wilcox, Marti A. Hearst, Francine Chen",SIGMOD Record,1994,Metadata for mixed-media access,"Francine Chen, Marti Hearst, Julian Kupiec, Jan Pedersen, Lynn Wilcox",ACM SIGMOD Record ,1994
Loading Databases Using Dataflow Parallelism,"Prakash Sundaresan, Jim Gray, Robert Barnes, Tom Barclay",SIGMOD Record,1994,Loading databases using dataflow parallelism,"Tom Barclay, Robert Barnes, Jim Gray, Prakash Sundaresan",ACM SIGMOD Record ,1994
Recent Design Trade-offs in SQL3,"Nelson Mendonça Mattos, Linda G. DeMichiel",SIGMOD Record,1994,Recent design trade-offs in SQL3,"Nelson Mattos, Linda G. DeMichiel",ACM SIGMOD Record ,1994
A TSQL2 Tutorial,"James Clifford, Ramez Elmasri, Michael D. Soo, Wolfgang Käfer, Nick Kline, Arie Segev, Suryanarayana M. Sripada, Fabio Grandi, John F. Roddick, Richard T. Snodgrass, Christian S. Jensen, Nikos A. Lorentzos, Ilsoo Ahn, Gad Ariav, Don S. Batory, T. Y. Cliff Leung, Curtis E. Dyreson, Krishna G. Kulkarni",SIGMOD Record,1994,A TSQL2 tutorial,"Richard Thomas Snodgrass, Ilsoo Ahn, Gad Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
Database Research at NTHU and ITRI,Arbee L. P. Chen,SIGMOD Record,1994,Database research at NTHU and ITRI,Arbee L. P. Chen,ACM SIGMOD Record ,1994
"Response to the March 1994 ODMG-93 Commentary Written by Dr. Won Kim of UniSQL, Inc",Object Database Management Group,SIGMOD Record,1994,"Response to the ODMG-93 commentary written by Dr. Won Kim of UniSQL, Inc.",CORPORATE Object Database Management Group,ACM SIGMOD Record ,1994
Research Issues in Databases for ARCS: Active Rapidly Changing Data Systems,Anindya Datta,SIGMOD Record,1994,Research issues in databases for ARCS: Active Rapidly Changing data Systems,Anindya Datta,ACM SIGMOD Record ,1994
How to Modify SQL Queries in Order to Guarantee Sure Answers,Hans-Joachim Klein,SIGMOD Record,1994,How to modify SQL queries in order to guarantee sure answers,H.-J. Klein,ACM SIGMOD Record ,1994
Performance Evaluation of a New Distributed Deadlock Detection Algorithm,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",SIGMOD Record,1994,Performance evaluation of a new distributed deadlock detection algorithm,"Chim-fu Yeung, Sheung-lun Hung, Kam-yiu Lam",ACM SIGMOD Record ,1994
The Impact of Database Research on Industrial Products (Panel Summary),"David B. Lomet, Daniel Barbará, José A. Blakeley, Michael Stonebraker, Daniel H. Fishman",SIGMOD Record,1994,The impact of database research on industrial products (panel),"Jos&#233; A. Blakeley, Dan Fishman, David Lomet, Michael Stonebraker",ACM SIGMOD Record ,1994
Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,Jennifer Widom,SIGMOD Record,1994,Research issues in active database systems: report from the closing panel at RIDE-ADS '94,Jennifer Widom,ACM SIGMOD Record ,1994
Medical Information Systems: Characterization and Challenges,"Lynn L. Peterson, Jorge C. G. Ramirez, Lon A. Smith",SIGMOD Record,1994,Medical information systems: characterization and challenges,"Jorge C. G. Ramirez, Lon A. Smith, Lynn L. Peterson",ACM SIGMOD Record ,1994
Jumping on the NII Bandwagon,Xiaolei Qian,SIGMOD Record,1994,Jumping on the NII bandwagon,Xiaolei Qian,ACM SIGMOD Record ,1994
A Hypertext Query Language for Images,Li Yang,SIGMOD Record,1994,A hypertext query language for images,Li Yang,ACM SIGMOD Record ,1994
A Consensus Glossary of Temporal Database Concepts,"Shashi K. Gadia, Christian S. Jensen, Patrick J. Hayes, Ramez Elmasri, Sushil Jajodia, James Clifford",SIGMOD Record,1994,A consensus glossary of temporal database concepts,"Curtis Dyreson, Fabio Grandi, Wolfgang K&#228;fer, Nick Kline, Nikos Lorentzos, Yannis Mitsopoulos, Angelo Montanari, Daniel Nonen, Elisa Peressi, Barbara Pernici, John F. Roddick, Nandlal L. Sarda, Maria Rita Scalas, Arie Segev, Richard Thomas Snodgrass, Mike D. Soo, Abdullah Tansel, Paolo Tiberio, Gio Wiederhold",ACM SIGMOD Record ,1994
Comprehension Syntax,"Limsoon Wong, Dan Suciu, Val Tannen, Peter Buneman, Leonid Libkin",SIGMOD Record,1994,Comprehension syntax,"Peter Buneman, Leonid Libkin, Dan Suciu, Val Tannen, Limsoon Wong",ACM SIGMOD Record ,1994
Databases for GIS,"Claudia Bauzer Medeiros, Fatima Pires",SIGMOD Record,1994,Databases for GIS,"Claudia Bauzer Medeiros, Fatima Pires",ACM SIGMOD Record ,1994
In Memory of Bob Kooi (1951-1993),Michael Stonebraker,SIGMOD Record,1994,In memory of Bob Kooi (1951-1993),Michael Stonebraker,ACM SIGMOD Record ,1994
Research Perspectives for Time Series Management Systems,"Duri Schmidt, Angelika Kotz Dittrich, Werner Dreyer",SIGMOD Record,1994,Research perspectives for time series management systems,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",ACM SIGMOD Record ,1994
Supporting Dynamic Displays Using Active Rules,"Oscar Díaz, Arturo Jaime, Ghassan al-Qaimari, Norman W. Paton",SIGMOD Record,1994,Supporting dynamic displays using active rules,"Oscar D&#237;az, Arturo Jaime, Norman W. Paton, Ghassan al-Qaimari",ACM SIGMOD Record ,1994
Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop,"Ramez Elmasri, Richard T. Snodgrass, Babis Theodoulidis, Inderpal Singh Mumick, Arie Segev, M. Tamer Özsu, Umeshwar Dayal, Niki Pissinou, Barbara Pernici",SIGMOD Record,1994,Towards an infrastructure for temporal databases: report of an invitational ARPA/NSF workshop,"Niki Pissinou, Richard Thomas Snodgrass, Ramez Elmasri, Inderpal S. Mumick, Tamer &#214;zsu, Barbara Pernici, Arie Segev, Babis Theodoulidis, Umeshwar Dayal",ACM SIGMOD Record ,1994
TSQL2 Language Specification,"Wolfgang Käfer, Curtis E. Dyreson, Arie Segev, Krishna G. Kulkarni, Michael D. Soo, Don S. Batory, Ramez Elmasri, Nikos A. Lorentzos, Nick Kline, John F. Roddick, Gad Ariav, James Clifford, Richard T. Snodgrass, Suryanarayana M. Sripada, T. Y. Cliff Leung, Fabio Grandi, Ilsoo Ahn, Christian S. Jensen",SIGMOD Record,1994,TSQL2 language specification,"Richard Thomas Snodgrass, Ilsoo Ahn, Gadi Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
Text Databases: A Survey of Text Models and Systems,Arjan Loeffen,SIGMOD Record,1994,Text databases: a survey of text models and systems,Arjan Loeffen,ACM SIGMOD Record ,1994
The Database Research Group at ETH Zurich,"Hans-Jörg Schek, Moira C. Norrie, Gerhard Weikum, Stephen Blott",SIGMOD Record,1994,The database research group at ETH Zurich,"Moira C. Norrie, Stephen M. Blott, Hans-J&#246;rg Schek, Gerhard Weikum",ACM SIGMOD Record ,1994
Influencing Database Language Standards,Leonard Gallagher,SIGMOD Record,1994,Influencing database language standards,Leonard Gallagher,ACM SIGMOD Record ,1994
Progress on HPCC and NII,Marianne Winslett,SIGMOD Record,1994,Progress on HPCC and NII,Marianne Winslett,ACM SIGMOD Record ,1994
Analysis of predictive spatio-temporal queries,"Dimitris Papadias, Jimeng Sun, Yufei Tao",ACM Trans. Database Syst.,2003,Analysis of predictive spatio-temporal queries,"Yufei Tao, Jimeng Sun, Dimitris Papadias",ACM Transactions on Database Systems (TODS) ,2003
Efficient dynamic mining of constrained frequent sets,"Laks V. S. Lakshmanan, Raymond T. Ng, Carson Kai-Sang Leung",ACM Trans. Database Syst.,2003,Efficient dynamic mining of constrained frequent sets,"Laks V. S. Lakshmanan, Carson Kai-Sang Leung, Raymond T. Ng",ACM Transactions on Database Systems (TODS) ,2003
Effective page refresh policies for Web crawlers,"Junghoo Cho, Hector Garcia-Molina",ACM Trans. Database Syst.,2003,Effective page refresh policies for Web crawlers,"Junghoo Cho, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS) ,2003
Preference formulas in relational queries,Jan Chomicki,ACM Trans. Database Syst.,2003,Preference formulas in relational queries,Jan Chomicki,ACM Transactions on Database Systems (TODS) ,2003
Path sharing and predicate evaluation for high-performance XML filtering,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",ACM Trans. Database Syst.,2003,Path sharing and predicate evaluation for high-performance XML filtering,"Yanlei Diao, Mehmet Altinel, Michael J. Franklin, Hao Zhang, Peter Fischer",ACM Transactions on Database Systems (TODS) ,2003
Index-driven similarity search in metric spaces,"Gísli R. Hjaltason, Hanan Samet",ACM Trans. Database Syst.,2003,Index-driven similarity search in metric spaces,"Gisli R. Hjaltason, Hanan Samet",ACM Transactions on Database Systems (TODS) ,2003
Removing permissions in the flexible authorization framework,"Åsa Hagström, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",ACM Trans. Database Syst.,2003,Removing permissions in the flexible authorization framework,"Duminda Wijesekera, Sushil Jajodia, Francesco Parisi-Presicce, &#197;sa Hagstr&#246;m",ACM Transactions on Database Systems (TODS) ,2003
Iterative spatial join,"Hanan Samet, Edwin H. Jacox",ACM Trans. Database Syst.,2003,Iterative spatial join,"Edwin H. Jacox, Hanan Samet",ACM Transactions on Database Systems (TODS) ,2003
Are quorums an alternative for data replication?,"Bettina Kemme, Ricardo Jiménez-Peris, Marta Patiño-Martínez, Gustavo Alonso",ACM Trans. Database Syst.,2003,Are quorums an alternative for data replication?,"Ricardo Jim&#233;nez-Peris, M. Pati&#241;o-Mart&#237;nez, Gustavo Alonso, Bettina Kemme",ACM Transactions on Database Systems (TODS) ,2003
Spatial queries in dynamic environments,"Yufei Tao, Dimitris Papadias",ACM Trans. Database Syst.,2003,Spatial queries in dynamic environments,"Yufei Tao, Dimitris Papadias",ACM Transactions on Database Systems (TODS) ,2003
Discovering all most specific sentences,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",ACM Trans. Database Syst.,2003,Discovering all most specific sentences,"Dimitrios Gunopulos, Roni Khardon, Heikki Mannila, Sanjeev Saluja, Hannu Toivonen, Ram Sewak Sharma",ACM Transactions on Database Systems (TODS) ,2003
On the computation of relational view complements,"Gottfried Vossen, Jens Lechtenbörger",ACM Trans. Database Syst.,2003,On the computation of relational view complements,"Jens Lechtenb&#246;rger, Gottfried Vossen",ACM Transactions on Database Systems (TODS) ,2003
Description logics for semantic query optimization in object-oriented database systems,"Claudio Sartori, Sonia Bergamaschi, Domenico Beneventano",ACM Trans. Database Syst.,2003,Description logics for semantic query optimization in object-oriented database systems,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",ACM Transactions on Database Systems (TODS) ,2003
A simple algorithm for finding frequent elements in streams and bags,"Scott Shenker, Christos H. Papadimitriou, Richard M. Karp",ACM Trans. Database Syst.,2003,A simple algorithm for finding frequent elements in streams and bags,"Richard M. Karp, Scott Shenker, Christos H. Papadimitriou",ACM Transactions on Database Systems (TODS) ,2003
Adaptive algorithms for set containment joins,"Hector Garcia-Molina, Sergey Melnik",ACM Trans. Database Syst.,2003,Adaptive algorithms for set containment joins,"Sergey Melnik, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS) ,2003
Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Ludäscher",ACM Trans. Database Syst.,2002,Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Lud&#228;scher",ACM Transactions on Database Systems (TODS) ,2002
Searching in metric spaces with user-defined and approximate distances,"Marco Patella, Paolo Ciaccia",ACM Trans. Database Syst.,2002,Searching in metric spaces with user-defined and approximate distances,"Paolo Ciaccia, Marco Patella",ACM Transactions on Database Systems (TODS) ,2002
SilkRoute: A framework for publishing relational data in XML,"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",ACM Trans. Database Syst.,2002,SilkRoute: A framework for publishing relational data in XML,"Mary Fern&#225;ndez, Yana Kadiyska, Dan Suciu, Atsuyuki Morishima, Wang-Chiew Tan",ACM Transactions on Database Systems (TODS) ,2002
Searching for dependencies at multiple abstraction levels,"Jef Wijsen, Toon Calders, Raymond T. Ng",ACM Trans. Database Syst.,2002,Searching for dependencies at multiple abstraction levels,"Toon Calders, Raymond T. Ng, Jef Wijsen",ACM Transactions on Database Systems (TODS) ,2002
Fast incremental maintenance of approximate histograms,"Viswanath Poosala, Phillip B. Gibbons, Yossi Matias",ACM Trans. Database Syst.,2002,Fast incremental maintenance of approximate histograms,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",ACM Transactions on Database Systems (TODS) ,2002
Cost models for overlapping and multiversion structures,"Yufei Tao, Jun Zhang, Dimitris Papadias",ACM Trans. Database Syst.,2002,Cost models for overlapping and multiversion structures,"Yufei Tao, Dimitris Papadias, Jun Zhang",ACM Transactions on Database Systems (TODS) ,2002
Locally adaptive dimensionality reduction for indexing large time series databases,"Kaushik Chakrabarti, Eamonn J. Keogh, Michael J. Pazzani, Sharad Mehrotra",ACM Trans. Database Syst.,2002,Locally adaptive dimensionality reduction for indexing large time series databases,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",ACM Transactions on Database Systems (TODS) ,2002
Top-k selection queries over relational databases: Mapping strategies and performance evaluation,"Surajit Chaudhuri, Nicolas Bruno, Luis Gravano",ACM Trans. Database Syst.,2002,Top-k selection queries over relational databases: Mapping strategies and performance evaluation,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",ACM Transactions on Database Systems (TODS) ,2002
Distributed query evaluation on semistructured data,Dan Suciu,ACM Trans. Database Syst.,2002,Distributed query evaluation on semistructured data,Dan Suciu,ACM Transactions on Database Systems (TODS) ,2002
Atomicity and isolation for transactional processes,"Hans-Jörg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",ACM Trans. Database Syst.,2002,Atomicity and isolation for transactional processes,"Heiko Schuldt, Gustavo Alonso, Catriel Beeri, Hans-J&#246;rg Schek",ACM Transactions on Database Systems (TODS) ,2002
A logical foundation for deductive object-oriented databases,"Mengchi Liu, Tok Wang Ling, Gillian Dobbie",ACM Trans. Database Syst.,2002,A logical foundation for deductive object-oriented databases,"Mengchi Liu, Gillian Dobbie, Tok Wang Ling",ACM Transactions on Database Systems (TODS) ,2002
Querying ATSQL databases with temporal logic,"Jan Chomicki, David Toman, Michael H. Böhlen",ACM Trans. Database Syst.,2001,Querying ATSQL databases with temporal logic,"Jan Chomicki, David Toman, Michael H. B&#246;hlen",ACM Transactions on Database Systems (TODS) ,2001
Data Mining with optimized two-dimensional association rules,"Takeshi Tokuyama, Yasuhiko Morimoto, Shinichi Morishita, Takeshi Fukuda",ACM Trans. Database Syst.,2001,Data Mining with optimized two-dimensional association rules,"Takeshi Fukuda, Yasuhiko Morimoto, Shimichi Morishita, Takeshi Tokuyama",ACM Transactions on Database Systems (TODS) ,2001
Flexible support for multiple access control policies,"V. S. Subrahmanian, Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino",ACM Trans. Database Syst.,2001,Flexible support for multiple access control policies,"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS) ,2001
Applying an update method to a set of receivers,"Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo",ACM Trans. Database Syst.,2001,Applying an update method to a set of receivers,"Marc Andries, Luca Cabibbo, Jan Paredaens, Jan van den Bussche",ACM Transactions on Database Systems (TODS) ,2001
